instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
EUR_USD,2026-01-14 12:00:00+00:00,2026-01-15 12:00:00+00:00,SHORT,1.16598,1.16228,1.16502,208333,200.0,602.2126,MAX_BARS,141314.2376
AUD_USD,2026-01-15 03:00:00+00:00,2026-01-15 13:00:00+00:00,LONG,0.66724,0.66826,0.66826,196078,200.0,156.2497,TRAIL_SL,141470.4873
DE30_EUR,2026-01-15 04:00:00+00:00,2026-01-15 15:00:00+00:00,SHORT,25378.2,25390.7,25442.92967,4,200.0,-42.735,EOD,141427.7523
USD_JPY,2026-01-15 05:00:00+00:00,2026-01-16 02:00:00+00:00,LONG,158.434,158.11958,158.11958,128997,200.0,-200.0,SL,141227.7523
GBP_USD,2026-01-15 05:00:00+00:00,2026-01-15 07:00:00+00:00,SHORT,1.34274,1.34431,1.34431,127389,200.0,-156.2506,SL,141071.5017
USD_CHF,2026-01-15 09:00:00+00:00,2026-01-15 14:00:00+00:00,LONG,0.80052,0.80365,0.80132,256166,200.0,779.4512,EXIT_MODEL,141850.9529
NAS100_USD,2026-01-15 13:00:00+00:00,2026-01-15 20:00:00+00:00,SHORT,25761.0,25585.3,25864.72808,2,200.0,274.5313,EOD,142125.4842
SPX500_USD,2026-01-15 16:00:00+00:00,2026-01-15 20:00:00+00:00,SHORT,6984.0,6955.3,7002.70072,14,200.0,313.9062,EOD,142439.3904
USD_CHF,2026-01-16 00:00:00+00:00,2026-01-16 20:00:00+00:00,SHORT,0.80378,0.8031,0.80497,172914,200.0,114.3825,FRIDAY_CLOSE,142553.7729
AUD_USD,2026-01-16 03:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,0.67042,0.66941,0.66941,198020,200.0,156.2502,TRAIL_SL,142710.0231
GBP_USD,2026-01-16 06:00:00+00:00,2026-01-16 11:00:00+00:00,LONG,1.33805,1.34078,1.33814,2222222,200.0,4739.5829,EXIT_MODEL,147449.606
DE30_EUR,2026-01-16 07:00:00+00:00,2026-01-16 14:00:00+00:00,SHORT,25345.0,25250.5,25339.62911,44,200.0,3553.8462,EXIT_MODEL,151003.4522
NAS100_USD,2026-01-16 10:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,25722.8,25548.8,25702.3173,12,200.0,1631.25,EXIT_MODEL,152634.7022
SPX500_USD,2026-01-16 10:00:00+00:00,2026-01-16 20:00:00+00:00,SHORT,6972.0,6947.5,6985.02535,20,200.0,382.8125,EOD,153017.5147
EUR_USD,2026-01-16 11:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,1.16193,1.1617,1.1617,869565,200.0,156.25,TRAIL_SL,153173.7647
USD_JPY,2026-01-16 14:00:00+00:00,2026-01-16 20:00:00+00:00,LONG,157.912,158.08,157.62055,138705,200.0,115.1634,FRIDAY_CLOSE,153288.9281
AUD_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,0.66716,0.66731,0.66731,1333333,200.0,156.25,TRAIL_SL,153445.1781
USD_JPY,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,157.874,157.59767,157.59767,146259,200.0,-200.0,SL,153245.1781
EUR_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,1.15844,1.15935,1.15935,219780,200.0,156.2498,TRAIL_SL,153401.4279
GBP_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,1.33556,1.33667,1.33667,180180,200.0,156.2498,TRAIL_SL,153557.6777
USD_JPY,2026-01-19 00:00:00+00:00,2026-01-19 07:00:00+00:00,LONG,157.475,158.08,157.64968,230785,200.0,690.0428,EXIT_MODEL,154247.7205
DE30_EUR,2026-01-19 06:00:00+00:00,2026-01-19 15:00:00+00:00,LONG,24977.6,24974.0,24872.38373,2,200.0,-6.1538,EOD,154241.5667
NAS100_USD,2026-01-19 08:00:00+00:00,2026-01-19 23:00:00+00:00,SHORT,25262.8,25258.6,25362.38739,3,200.0,9.8438,EOD,154251.4105
USD_CHF,2026-01-19 14:00:00+00:00,2026-01-20 07:00:00+00:00,LONG,0.79682,0.79518,0.79518,124382,200.0,-200.0,SL,154051.4105
AUD_USD,2026-01-20 00:00:00+00:00,2026-01-20 04:00:00+00:00,LONG,0.67099,0.67378,0.67256,127389,200.0,277.6682,EXIT_MODEL,154329.0787
DE30_EUR,2026-01-20 01:00:00+00:00,2026-01-20 08:00:00+00:00,SHORT,24956.6,24846.24807,24846.24807,2,200.0,188.6358,TRAIL_SL,154517.7145
USD_JPY,2026-01-20 06:00:00+00:00,2026-01-20 08:00:00+00:00,SHORT,158.418,158.18577,158.18577,174633,200.0,200.2937,TRAIL_SL,154718.0082
GBP_USD,2026-01-20 06:00:00+00:00,2026-01-20 07:00:00+00:00,LONG,1.34352,1.34475,1.34475,162602,200.0,156.2504,TRAIL_SL,154874.2586
SPX500_USD,2026-01-20 11:00:00+00:00,2026-01-20 15:00:00+00:00,SHORT,6843.2,6864.81288,6864.81288,12,200.0,-200.0,SL,154674.2586
