instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
EUR_USD,2026-01-08 04:00:00+00:00,2026-01-08 17:00:00+00:00,SHORT,1.16804,1.16508,1.16729,321287,240.9656,742.9762,EXIT_MODEL,121225.7807
USD_JPY,2026-01-08 07:00:00+00:00,2026-01-08 13:00:00+00:00,LONG,156.47,156.67536,156.67536,236456,242.4516,242.1339,TRAIL_SL,121467.9146
NAS100_USD,2026-01-08 09:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,25620.0,25610.93059,25610.93059,34,242.9358,240.9062,TRAIL_SL,121708.8208
SPX500_USD,2026-01-08 11:00:00+00:00,2026-01-08 20:00:00+00:00,LONG,6915.6,6928.3,6901.32008,22,243.4176,218.2812,EOD,121927.102
DE30_EUR,2026-01-09 03:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,25180.8,25313.2,25203.77217,12,243.8542,1357.9487,EXIT_MODEL,123285.0507
AUD_USD,2026-01-09 04:00:00+00:00,2026-01-09 12:00:00+00:00,SHORT,0.6697,0.66758,0.66901,357348,246.5701,591.8576,EXIT_MODEL,123876.9083
USD_CHF,2026-01-09 07:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,0.79962,0.79867,0.79867,266926,247.7538,-247.7538,SL,123629.1545
SPX500_USD,2026-01-09 07:00:00+00:00,2026-01-09 16:00:00+00:00,LONG,6928.2,6971.6,6943.50406,21,247.2583,712.0313,EXIT_MODEL,124341.1858
EUR_USD,2026-01-09 07:00:00+00:00,2026-01-09 20:00:00+00:00,SHORT,1.16508,1.16347,1.16624,214381,248.6824,269.6511,FRIDAY_CLOSE,124610.8369
NAS100_USD,2026-01-09 10:00:00+00:00,2026-01-09 14:00:00+00:00,LONG,25581.6,25506.96662,25506.96662,4,249.2217,-233.2293,SL,124377.6076
GBP_USD,2026-01-09 10:00:00+00:00,2026-01-09 20:00:00+00:00,LONG,1.34084,1.34069,1.3391,142963,248.7552,-16.7535,FRIDAY_CLOSE,124360.8541
AUD_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.66874,0.67009,0.67009,184238,248.7217,-194.3135,SL,124166.5406
USD_JPY,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,158.064,157.9472,157.9472,430165,248.3331,248.5169,TRAIL_SL,124415.0575
GBP_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.33944,1.33988,1.33988,565523,248.8301,194.3985,TRAIL_SL,124609.456
EUR_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.16332,1.16356,1.16356,1038412,249.2189,194.7023,TRAIL_SL,124804.1583
USD_CHF,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.8012,0.79995,0.79995,204786,249.6083,249.9985,TRAIL_SL,125054.1568
USD_JPY,2026-01-12 00:00:00+00:00,2026-01-12 02:00:00+00:00,LONG,157.576,158.051,157.61085,1447523,250.1083,3398.6924,EXIT_MODEL,128452.8492
AUD_USD,2026-01-12 02:00:00+00:00,2026-01-12 15:00:00+00:00,LONG,0.66952,0.67198,0.6701,442941,256.9057,851.2772,EXIT_MODEL,129304.1264
DE30_EUR,2026-01-12 03:00:00+00:00,2026-01-12 12:00:00+00:00,LONG,25265.2,25446.2,25341.49287,4,258.6083,618.8034,EXIT_MODEL,129922.9298
USD_CHF,2026-01-12 08:00:00+00:00,2026-01-13 08:00:00+00:00,LONG,0.79594,0.7976,0.79433,164430,259.8459,267.3585,MAX_BARS,130190.2883
NAS100_USD,2026-01-12 10:00:00+00:00,2026-01-12 18:00:00+00:00,LONG,25562.1,25836.8,25654.57646,4,260.3806,858.4375,EXIT_MODEL,131048.7258
SPX500_USD,2026-01-12 11:00:00+00:00,2026-01-12 14:00:00+00:00,LONG,6928.0,6935.49873,6935.49873,45,262.0975,263.6272,TRAIL_SL,131312.353
USD_JPY,2026-01-13 00:00:00+00:00,2026-01-13 02:00:00+00:00,LONG,158.162,158.672,158.32777,320732,262.6247,805.3825,EXIT_MODEL,132117.7355
DE30_EUR,2026-01-13 07:00:00+00:00,2026-01-13 14:00:00+00:00,SHORT,25482.8,25535.67551,25535.67551,6,264.2355,-264.2355,SL,131853.5
GBP_USD,2026-01-13 08:00:00+00:00,2026-01-13 13:00:00+00:00,SHORT,1.34766,1.3494,1.3494,151556,263.707,-206.0214,SL,131647.4786
