instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
DE30_EUR,2026-02-02 05:00:00+00:00,2026-02-02 09:00:00+00:00,LONG,24298.6,24604.1,24400.59162,2,400.3043,522.2222,EXIT_MODEL,200674.3883
SPX500_USD,2026-02-02 06:00:00+00:00,2026-02-02 15:00:00+00:00,LONG,6854.6,6974.4,6895.01926,5,401.3488,467.9687,EXIT_MODEL,201142.357
NAS100_USD,2026-02-02 10:00:00+00:00,2026-02-02 17:00:00+00:00,LONG,25310.4,25827.1,25457.76331,2,402.2847,807.3437,EXIT_MODEL,201949.7007
USD_JPY,2026-02-03 00:00:00+00:00,2026-02-03 11:00:00+00:00,LONG,155.47,155.952,155.48723,4664923,403.8994,11263.947,EXIT_MODEL,213213.6477
AUD_USD,2026-02-03 00:00:00+00:00,2026-02-03 03:00:00+00:00,LONG,0.69684,0.69873,0.69873,225623,426.4273,333.1465,TRAIL_SL,213546.7942
GBP_USD,2026-02-03 06:00:00+00:00,2026-02-03 11:00:00+00:00,SHORT,1.36933,1.36508,1.36929,10677340,427.0936,35452.1055,EXIT_MODEL,248998.8997
DE30_EUR,2026-02-03 08:00:00+00:00,2026-02-03 13:00:00+00:00,SHORT,25098.6,24830.6,24999.32442,2,497.9978,458.1197,EXIT_MODEL,249457.0194
USD_CHF,2026-02-03 09:00:00+00:00,2026-02-04 04:00:00+00:00,SHORT,0.77888,0.7748,0.77855,1507274,498.914,6200.8723,EXIT_MODEL,255657.8917
EUR_USD,2026-02-03 10:00:00+00:00,2026-02-04 04:00:00+00:00,LONG,1.17871,1.18355,1.17905,1503870,511.3158,5686.5084,EXIT_MODEL,261344.4001
NAS100_USD,2026-02-03 11:00:00+00:00,2026-02-03 14:00:00+00:00,SHORT,25856.5,25760.51456,25760.51456,2,522.6888,149.9773,TRAIL_SL,261494.3774
SPX500_USD,2026-02-03 11:00:00+00:00,2026-02-03 16:00:00+00:00,SHORT,6992.0,6934.0,6974.56259,5,522.9888,226.5625,EXIT_MODEL,261720.9399
GBP_USD,2026-02-04 04:00:00+00:00,2026-02-04 16:00:00+00:00,SHORT,1.3716,1.36574,1.36977,286034,523.4419,1309.4994,EXIT_MODEL,263030.4393
USD_CHF,2026-02-04 04:00:00+00:00,2026-02-05 03:00:00+00:00,LONG,0.7748,0.778,0.77488,6521471,526.0609,20955.8837,EXIT_MODEL,283986.323
EUR_USD,2026-02-04 04:00:00+00:00,2026-02-05 02:00:00+00:00,SHORT,1.18355,1.17856,1.18242,502631,567.9726,1959.4755,EXIT_MODEL,285945.7985
DE30_EUR,2026-02-04 05:00:00+00:00,2026-02-04 15:00:00+00:00,SHORT,24810.6,24703.0,24910.64804,2,571.8916,183.9316,EOD,286129.7301
AUD_USD,2026-02-04 05:00:00+00:00,2026-02-05 02:00:00+00:00,SHORT,0.7029,0.69918,0.69918,153833,572.2595,447.0772,TRAIL_SL,286576.8073
NAS100_USD,2026-02-04 06:00:00+00:00,2026-02-04 16:00:00+00:00,SHORT,25387.6,24952.2,25219.0501,2,573.1536,680.3125,EXIT_MODEL,287257.1198
SPX500_USD,2026-02-04 07:00:00+00:00,2026-02-04 16:00:00+00:00,SHORT,6941.2,6893.4,6938.88933,5,574.5142,186.7188,EXIT_MODEL,287443.8386
USD_CHF,2026-02-05 04:00:00+00:00,2026-02-05 13:00:00+00:00,SHORT,0.77825,0.77474,0.77738,658253,574.8877,2329.8825,EXIT_MODEL,289773.7211
DE30_EUR,2026-02-05 04:00:00+00:00,2026-02-05 13:00:00+00:00,SHORT,24632.5,24351.3,24560.71835,2,579.5474,480.6838,EXIT_MODEL,290254.4049
AUD_USD,2026-02-05 06:00:00+00:00,2026-02-05 23:00:00+00:00,SHORT,0.69776,0.69158,0.69461,184289,580.5088,889.7703,EXIT_MODEL,291144.1752
SPX500_USD,2026-02-05 06:00:00+00:00,2026-02-05 15:00:00+00:00,SHORT,6895.6,6799.8,6869.45081,5,582.2884,374.2188,EXIT_MODEL,291518.394
GBP_USD,2026-02-05 07:00:00+00:00,2026-02-05 09:00:00+00:00,SHORT,1.36202,1.35658,1.36043,366690,583.0368,1558.4325,EXIT_MODEL,293076.8265
USD_JPY,2026-02-05 09:00:00+00:00,2026-02-05 13:00:00+00:00,SHORT,157.329,156.596,156.98221,340380,586.1537,1244.7364,EXIT_MODEL,294321.5629
EUR_USD,2026-02-05 09:00:00+00:00,2026-02-06 09:00:00+00:00,LONG,1.17808,1.1792,1.1763,330698,588.6431,289.3608,MAX_BARS,294610.9237
NAS100_USD,2026-02-05 09:00:00+00:00,2026-02-05 15:00:00+00:00,SHORT,24948.2,24553.4,24881.53554,2,589.2218,616.875,EXIT_MODEL,295227.7987
USD_JPY,2026-02-06 00:00:00+00:00,2026-02-06 12:00:00+00:00,LONG,156.653,157.082,156.66081,15159501,590.4556,32344.8995,EXIT_MODEL,327572.6982
DE30_EUR,2026-02-06 04:00:00+00:00,2026-02-06 15:00:00+00:00,LONG,24439.8,24731.5,24464.89469,2,655.1454,498.6325,EOD,328071.3307
USD_CHF,2026-02-06 08:00:00+00:00,2026-02-06 14:00:00+00:00,SHORT,0.77844,0.77566,0.7784,16344566,656.1427,45765.3537,EXIT_MODEL,373836.6844
EUR_USD,2026-02-06 11:00:00+00:00,2026-02-06 20:00:00+00:00,LONG,1.17902,1.18222,1.17912,7476734,747.6734,18691.835,FRIDAY_CLOSE,392528.5194
USD_CHF,2026-02-08 22:00:00+00:00,2026-02-09 08:00:00+00:00,SHORT,0.77626,0.77238,0.77509,666703,785.057,2616.5145,EXIT_MODEL,395145.0339
USD_JPY,2026-02-08 22:00:00+00:00,2026-02-09 01:00:00+00:00,SHORT,157.412,156.632,157.05469,445645,790.2901,1733.7768,EXIT_MODEL,396878.8107
GBP_USD,2026-02-08 22:00:00+00:00,2026-02-09 15:00:00+00:00,LONG,1.36029,1.36778,1.36387,221720,793.7576,1297.4084,EXIT_MODEL,398176.2191
AUD_USD,2026-02-08 22:00:00+00:00,2026-02-09 14:00:00+00:00,LONG,0.70168,0.70804,0.70549,209016,796.3524,1038.5483,EXIT_MODEL,399214.7674
DE30_EUR,2026-02-09 07:00:00+00:00,2026-02-09 15:00:00+00:00,LONG,24819.0,24995.5,24837.01601,2,798.4295,301.7094,EOD,399516.4768
USD_JPY,2026-02-09 09:00:00+00:00,2026-02-09 14:00:00+00:00,SHORT,156.644,155.607,156.17377,340705,799.033,1773.8552,EXIT_MODEL,401290.332
SPX500_USD,2026-02-09 10:00:00+00:00,2026-02-09 16:00:00+00:00,LONG,6919.0,6980.7,6925.6248,5,802.5807,241.0156,EXIT_MODEL,401531.3476
NAS100_USD,2026-02-09 10:00:00+00:00,2026-02-09 19:00:00+00:00,LONG,24968.2,25330.0,25023.10098,2,803.0627,565.3125,EXIT_MODEL,402096.6601
EUR_USD,2026-02-09 10:00:00+00:00,2026-02-09 14:00:00+00:00,LONG,1.186,1.19184,1.18843,330944,804.1933,1509.932,EXIT_MODEL,403606.5921
GBP_USD,2026-02-10 02:00:00+00:00,2026-02-10 23:00:00+00:00,SHORT,1.36932,1.3633,1.3678,531061,807.2132,2497.6463,EXIT_MODEL,406104.2384
DE30_EUR,2026-02-10 03:00:00+00:00,2026-02-10 15:00:00+00:00,LONG,25000.0,25017.0,24919.96295,2,812.2085,29.0598,EOD,406133.2982
USD_CHF,2026-02-10 06:00:00+00:00,2026-02-10 14:00:00+00:00,SHORT,0.76748,0.76352,0.76632,687888,812.2666,2787.2924,EXIT_MODEL,408920.5906
EUR_USD,2026-02-10 06:00:00+00:00,2026-02-11 00:00:00+00:00,LONG,1.19031,1.18866,1.18866,495661,817.8412,-638.938,SL,408281.6526
USD_JPY,2026-02-10 06:00:00+00:00,2026-02-10 14:00:00+00:00,SHORT,155.41,154.389,154.9398,345459,816.5633,1784.8262,EXIT_MODEL,410066.4788
AUD_USD,2026-02-10 06:00:00+00:00,2026-02-11 01:00:00+00:00,LONG,0.70684,0.70951,0.70738,1518765,820.133,3168.0489,EXIT_MODEL,413234.5277
